物販マスタ一覧－店舗：0001 本店,,,,,,,作成日：2026年6月12日(Fri) 18:28

 No.,コード,物販ｺｰﾄﾞ,名称,フリガナ,価格1,価格2,価格3,価格4,価格5,価格6,会員価格1,会員価格2,会員価格3,会員価格4,会員価格5,会員価格6,特別会員価格1,特別会員価格2,特別会員価格3,特別会員価格4,特別会員価格5,特別会員価格6,商品分類ｺｰﾄﾞ,商品分類名称,消費税区分,税コード,税名称,特価対象,値下対象,ポイント対象,顧客分析対象,ポイント倍率,追加ポイントファンクションコード,クーポンID
1,"0001","0000000000001","箱入り娘","ﾊｺｲﾘﾑｽﾒ",10000,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,"95","保管","外税","01","外税","×","○","×","○",1.00,,""
2,"0002","0000000000002","御曹司","ｵﾝｿﾞｳｼ",6000,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,"95","保管","外税","01","外税","×","○","×","○",1.00,,""
15,"0015","0000000000015","保管ﾊﾟｯｸ5","ﾎｶﾝﾊﾟｯｸ",2000,2000,2000,0,0,0,2000,2000,2000,0,0,0,2000,2000,2000,0,0,0,"95","保管","外税","01","外税","○","○","×","○",1.00,,""
16,"0016","0000000000045","おうち洗いバッグ","ｵｳﾁｱﾗｲﾊﾞｯｸﾞ",200,200,200,0,0,0,200,200,200,0,0,0,200,200,200,0,0,0,"98","販売品","外税","01","外税","×","×","×","○",1.00,,""
17,"0017","0000000000017","入会金","ﾜｲｼｬﾂｶｲｲﾝﾆｭｳｶｲｷﾝ",300,300,300,0,0,0,300,300,300,0,0,0,0,0,0,0,0,0,"88","入会金","外税","01","外税","×","×","×","○",1.00,,""
18,"0018","0000000000018","【保管】ｶｰﾍﾟｯﾄ","ﾎｶﾝｶｰﾍﾟｯﾄ",2000,2000,2000,0,0,0,2000,2000,2000,0,0,0,2000,2000,2000,0,0,0,"95","保管","外税","01","外税","×","○","×","○",1.00,,""
19,"0019","0000000000019","【保管】布団","ﾎｶﾝﾌﾄﾝ",1500,1500,1500,0,0,0,1500,1500,1500,0,0,0,1500,1500,1500,0,0,0,"95","保管","外税","01","外税","×","○","×","○",1.00,,""
20,"0020","0000000000020","【保管】毛布","ﾎｶﾝﾓｳﾌ",1300,1300,1300,0,0,0,1300,1300,1300,0,0,0,1300,1300,1300,0,0,0,"95","保管","外税","01","外税","×","○","×","○",1.00,,""
21,"0021","0000000000050","ﾌﾟﾚﾐｱﾑｸﾘｰﾆﾝｸﾞ券","ﾌﾟﾚﾐｱﾑｸﾘｰﾆﾝｸﾞ",5000,5000,5000,0,0,0,5000,5000,5000,0,0,0,5000,5000,5000,0,0,0,"98","販売品","非課税","03","非課税","×","×","○","○",1.00,,""
22,"0022","0000000000022","Re:洗濯洗剤","ﾘﾎﾞﾄﾙｾﾝﾀｸｾﾝｻﾞｲ",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"98","販売品","外税","01","外税","×","×","×","○",1.00,,""
23,"0023","0000000000023","Re:洗濯柔軟剤","ﾘﾎﾞﾄﾙｾﾝﾀｸｼﾞｭｳﾅﾝ",60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"98","販売品","外税","01","外税","×","×","×","○",1.00,,""
24,"0024","0000000000016","蒲生店 入会金","ｶﾞﾓｳﾃﾝﾆｭｳｶｲｷﾝ",500,500,500,0,0,0,500,500,500,0,0,0,500,500,500,0,0,0,"88","入会金","外税","01","外税","×","×","×","○",1.00,,""
25,"0027","0000000000027","キッチンエネロ","ｷｯﾁﾝｴﾈﾛ",550,0,0,0,0,0,550,0,0,0,0,0,0,0,0,0,0,0,"98","販売品","外税","01","外税","×","×","×","○",1.00,,""
26,"0029","0000000000029","しみちけ","ｼﾐﾁｹ",1000,1000,1000,0,0,0,1000,1000,1000,0,0,0,1000,1000,1000,0,0,0,"96","回数券","外税","01","外税","×","×","×","○",1.00,,""
27,"0030","0000000000030","BOX会員 入会金","BOXｶｲｲﾝﾆｭｳｶｲｷﾝ",500,500,500,0,0,0,500,500,500,0,0,0,500,500,500,0,0,0,"88","入会金","外税","01","外税","×","×","×","○",1.00,,""
28,"0038","0000000000038","ネクタイ回数券","ﾈｸﾀｲｶｲｽｳｹﾝ",1400,1400,1400,0,0,0,1400,1400,1400,0,0,0,1400,1400,1400,0,0,0,"96","回数券","外税","01","外税","×","×","×","○",1.00,,""
29,"0039","0000000000039","ブラウス回数券","ﾌﾞﾗｳｽｶｲｽｳｹﾝ",1980,1980,1980,0,0,0,1980,1980,1980,0,0,0,1980,1980,1980,0,0,0,"96","回数券","外税","01","外税","×","×","×","○",1.00,,""
30,"0041","0000000000013","ﾌｧｯｼｮﾝﾊﾞｯｸﾞ　小","ﾌｧｯｼｮﾝﾊﾞｯｸﾞ ｼｮｳ",10,10,10,0,0,0,10,10,10,0,0,0,10,10,10,0,0,0,"98","販売品","内税","02","内税","×","×","×","○",1.00,,""
31,"0042","0000000000014","ﾌｧｯｼｮﾝﾊﾞｯｸﾞ　大","ﾌｧｯｼｮﾝﾊﾞｯｸﾞﾀﾞｲ",20,20,20,0,0,0,20,20,20,0,0,0,20,20,20,0,0,0,"98","販売品","内税","02","内税","×","×","×","○",1.00,,""
32,"0044","0000000000044","マスク","ﾏｽｸ",500,500,500,0,0,0,500,500,500,0,0,0,500,500,500,0,0,0,"98","販売品","外税","01","外税","×","×","×","○",1.00,,""
33,"0045","0000000000046","ﾌﾟﾚﾐｱﾑｸﾘｰﾆﾝｸﾞ券","ﾌﾟﾚﾐｱﾑｸﾘｰﾆﾝｸﾞｹﾝ",10000,10000,10000,0,0,0,10000,10000,10000,0,0,0,10000,10000,10000,0,0,0,"98","販売品","非課税","03","非課税","×","×","○","○",1.00,,""
34,"0046","0000000000047","【保管】ｶﾊﾞｰ類","ﾎｶﾝｶﾊﾞｰﾙｲ",1300,1300,1300,0,0,0,1300,1300,1300,0,0,0,1300,1300,1300,0,0,0,"95","保管","外税","01","外税","×","○","×","○",1.00,,""
35,"0047","0000000000048","【保管】ｶｰﾃﾝ","ﾎｶﾝｶｰﾃﾝ",1300,1300,1300,0,0,0,1300,1300,1300,0,0,0,1300,1300,1300,0,0,0,"95","保管","外税","01","外税","×","○","×","○",1.00,,""
36,"0048","0000000000049","みわの日ﾁｹｯﾄ","ﾐﾜﾉﾋﾁｹｯﾄ",3000,3000,3000,0,0,0,3000,3000,3000,0,0,0,3000,3000,3000,0,0,0,"98","販売品","非課税","03","非課税","×","×","×","○",1.00,,""
37,"9999","9999999999999","その他","ｿﾉﾀ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"98","販売品","外税","01","外税","○","○","○","○",1.00,,""
